Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bina Kat Sayısı,Kullanım Durumu,Krediye Uygunluk,Kira Getirisi,Eşya Durumu,Fiyat Bilgisi,İlan Link
181 M2,2+2,0 (Yeni),21,Boş,,,,"6,400,000",https://www.emlakjet.com/ilan/ay-yapi-konum-beytepe-de-22-firsat-daire-13442501/
100 M2,3+1,21 Ve Üzeri,6,Boş,,,,"1,750,000",https://www.emlakjet.com/ilan/emlaksell-turkiye-den-cankaya-da-satilik-31-daire-13441880/
95 M2,2+1,0 (Yeni),5,Boş,,,Boş,"4,300,000",https://www.emlakjet.com/ilan/ankara-kucukesat-akyuz-sokak-21-terasli-dubleks-sifir-daire-13443002/
105 M2,2+1,16-20,14,Kiracı Oturuyor,,12000 TL,Boş,"2,690,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-vadi-ve-kopru-manzarali-site-icerisinde-21-105m2-yapili-13444262/
90 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"1,200,000",https://www.emlakjet.com/ilan/onaldan-ankara-cankaya-dikmen-harbiye-mah-21-bahce-kati-13445640/
160 M2,4+1,21 Ve Üzeri,2,Boş,,,,"2,850,000",https://www.emlakjet.com/ilan/goral-dan-katta-tek-daire-ovecler-kabil-caddesi-yakini-3-katta-4-cepheli-4-balkonlu-41-13443188/
147 M2,3+1,11-15,4,Kiracı Oturuyor,,,Boş,"2,975,000",https://www.emlakjet.com/ilan/emakstan-cevizliderede-iyi-durumda-iyi-konumda-satilik-daire-13443120/
125 M2,3+1,21 Ve Üzeri,3,Boş,,,Eşyalı,"2,190,000",https://www.emlakjet.com/ilan/kizilay-mesrutiyet-cadde-uzeri-31-satilik-daire-13443003/
75 M2,1+1,5-10,12,Kiracı Oturuyor,,,,"3,500,000",https://www.emlakjet.com/ilan/sinpas-turkuaz-evlerinde-buyuk-tip-balkonlu-11-satilik-daire-13443134/
110 M2,3+1,21 Ve Üzeri,3,Boş,,14000 TL,Boş,"2,300,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-paraleli-31-110m2-yuksek-giris-balkonlu-full-yapili-13445347/
155 M2,3+1,16-20,4,Mülk Sahibi Oturuyor,,,Boş,"3,650,000",https://www.emlakjet.com/ilan/emakstan-cevizliderede-iyi-durumda-iyi-konumda-satilik-daire-13443121/
750 M2,7+2,5-10,3,Boş,,,Boş,"19,850,000",https://www.emlakjet.com/ilan/alacaatli-park-platin-konaklarinda-buyuk-bahceli-villa-13443083/
98 M2,2+1,0 (Yeni),5,Boş,,,Boş,"4,500,000",https://www.emlakjet.com/ilan/ankara-kucukesat-akyuz-sokak-21-terasli-dubleks-sifir-daire-13443001/
120 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"1,750,000",https://www.emlakjet.com/ilan/goraldan-31-kosebasi-ara-kat-kombili-ovecler-vadi-yani-kelepir-daire-acele-satilik-13443189/
206 M2,4.5+1,5-10,5,Boş,,,Boş,"13,500,000",https://www.emlakjet.com/ilan/yeni-sinpas-altinoran-vadi-konaklari-nda-yapili-4-51-satilik-13444335/
120 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"1,750,000",https://www.emlakjet.com/ilan/goraldan-31-kosebasi-ara-kat-kombili-ovecler-vadi-yani-ihtiyac-tan-acele-satilik-13443190/
120 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,925,000",https://www.emlakjet.com/ilan/akarsu-dan-cetin-emec-cd-yakini-sokullu-cd-paraleli-super-luks-yapili-31-kombili-katta-manzarali-13443940/
185 M2,4+1,16-20,5,Kiracı Oturuyor,,,,"5,700,000",https://www.emlakjet.com/ilan/c21-vip-ten-bakimli-41-daire-13444458/
120 M2,3+1,21 Ve Üzeri,3,Boş,,8000 TL,Boş,"1,850,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesi-uzerinde-cetinemec-bulvari-yakini-31-120m2-giris-kat-balkonlu-13445785/
120 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,925,000",https://www.emlakjet.com/ilan/taner-den-dikmen-c-emec-bulvari-yakini-31-orta-kat-luks-g-dogu-13444789/
110 M2,3+1,21 Ve Üzeri,3,Boş,,,,"1,595,000",https://www.emlakjet.com/ilan/cankaya-dikmen-caddesi-uzerinde-kot2-katta-31-satilik-daire-13443133/
322 M2,4+1,11-15,3,Boş,,,,"6,250,000",https://www.emlakjet.com/ilan/incek-ahlatlibel-oysekent-mahallesi-doga-koleji-ve-atilim-universite-ahlatlibel-kampusu-yakini-13445070/
240 M2,4+1,16-20,11,Boş,,,,"7,250,000",https://www.emlakjet.com/ilan/hilal-mah-altin-vadi-sitesinde-guney-cephe-41-satilik-daire-13442920/
150 M2,3+1,0 (Yeni),3,Boş,,,,"5,800,000",https://www.emlakjet.com/ilan/anittepe-genclik-caddesi-yakini-yeni-binada-cift-banyolu-terasli-31-dubleks-daire-13445137/
300 M2,5+1,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,,Boş,"4,350,000",https://www.emlakjet.com/ilan/kahire-cad-uzeri-galeri-dubleks-51-tolga-turkmen-den-13432815/
129 M2,2+1,5-10,12,Kiracı Oturuyor,,,Boş,"4,450,000",https://www.emlakjet.com/ilan/sinpas-altinoran-gol-peyzaj-manzarali-teras-balkonlu-satilik-21-13432993/
75 M2,1+1,5-10,14,Kiracı Oturuyor,,,Boş,"3,190,000",https://www.emlakjet.com/ilan/sinpas-altinoran-panorama-kapali-mutfak-vadi-manzara-satilik-11-13433048/
115 M2,2+1,21 Ve Üzeri,2,Kiracı Oturuyor,,7000 TL,Boş,"1,900,000",https://www.emlakjet.com/ilan/vera-dan-acil-satilik-dikmen-caddede-hastane-yani-110m2-ara-kat-13432862/
240 M2,4+1,0 (Yeni),10,Boş,,,,"9,000,000",https://www.emlakjet.com/ilan/alacaatli-da-radiance-park-konutlarinda-41-lux-daire-enbati-a-s-13444041/
70 M2,2+1,21 Ve Üzeri,3,Boş,,,Boş,"2,150,000",https://www.emlakjet.com/ilan/dikmen-sokullu-cad-satilik-21-65m2-ozel-yapili-bahce-kati-daire-13444086/
196 M2,4.5+1,5-10,17,Boş,,,Boş,"7,400,000",https://www.emlakjet.com/ilan/bos-sinpas-altinoran-panorama-evleri-manzarali-satilik-4-51-13433391/
196 M2,4.5+1,5-10,13,Kiracı Oturuyor,,,,"5,850,000",https://www.emlakjet.com/ilan/sinpas-altinoran-panorama-evleri-vadi-manzarali-satilik-4-51-13433434/
130 M2,3+1,21 Ve Üzeri,9,Kiracı Oturuyor,,15000 TL,Boş,"4,250,000",https://www.emlakjet.com/ilan/levent-ten-cukurambar-100-yil-hastanesi-yakini-muhsinyazicioglu-caddesinde-sitede-31-130m2-arakatta-13433261/
280 M2,7+1,11-15,4,Mülk Sahibi Oturuyor,,18000 TL,Boş,"4,995,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-akpinar-da-713-banyo-manzarali-terasli-full-yapili-dubleks-asansorlu-13433176/
185 M2,3.5+1,3,38,Mülk Sahibi Oturuyor,,,Boş,"6,500,000",https://www.emlakjet.com/ilan/sinpas-marina-vadi-manzarali-balkonlu-buyuk-tip-satilik-3-51-13433248/
150 M2,3+1,21 Ve Üzeri,5,Kiracı Oturuyor,,,Boş,"3,550,000",https://www.emlakjet.com/ilan/cankaya-yildizda-kumru-rezidans-karsisi-asansorlu-31-daire-13432816/
120 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,8000 TL,Boş,"1,950,000",https://www.emlakjet.com/ilan/levent-ten-cevizlidere-caddesi-yakini-31-120m2-bagimsiz-salon-katta-kombili-13434075/
125 M2,3+1,11-15,3,Kiracı Oturuyor,,9000 TL,Boş,"2,200,000",https://www.emlakjet.com/ilan/levent-ten-keklikpinari-nda-31-125m2-yuksek-giris-balkonlu-kombili-asansorlu-13433957/
125 M2,3+1,16-20,5,Boş,,,,"2,740,000",https://www.emlakjet.com/ilan/asikpasa-mah-vedat-dalokay-cad-yakini-31-full-yapili-genis-terasli-daire-13433496/
800 M2,9+ Oda,0 (Yeni),4,Boş,,,,"21,500,000",https://www.emlakjet.com/ilan/firsat-komple-satilik-bina-mesken-ve-isyeri-kullanimina-uygun-13433620/
120 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,,"2,925,000",https://www.emlakjet.com/ilan/goral-dan-cetin-emec-cd-yakini-sokullu-cd-paraleli-super-luks-yapili-31-kombili-katta-manzarali-13444690/
120 M2,3+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,7500 TL,Boş,"1,725,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-caddesi-sokullu-caddesi-yakini-31-120m2-giris-kat-13434155/
95 M2,2+1,21 Ve Üzeri,2,Kiracı Oturuyor,,7500 TL,Boş,"1,250,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-caddesi-uzerinde-21-95m2-bagimsiz-salon-bahce-cikisli-genis-bahceli-kombili-13434381/
200 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,,Boş,"2,550,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-uzerinde-21-giris-ve-31-bahce-kati-tek-tapu-iki-daire-13434479/
340 M2,5+1,11-15,5,Boş,,30000 TL,Boş,"6,500,000",https://www.emlakjet.com/ilan/odtu-ormani-panaromik-manzarali-51-dubleks-satilik-daire-13434780/
120 M2,3+1,21 Ve Üzeri,11,Kiracı Oturuyor,,,Boş,"1,600,000",https://www.emlakjet.com/ilan/levent-ten-keklikpinari-nda-sitede-dikmen-caddesi-yakini-31-bahce-kati-13434648/
175 M2,4+1,11-15,3,Kiracı Oturuyor,,12000 TL,Boş,"2,430,000",https://www.emlakjet.com/ilan/levent-ten-keklikpinari-nda-412-banyo-manzarali-yuksek-giris-asansorlu-kapali-garajli-13433429/
117 M2,3+1,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Boş,"3,900,000",https://www.emlakjet.com/ilan/kavaklidere-buklum-de-full-yapili-ara-kat-satilik-daire-13434686/
130 M2,3+1,5-10,3,Kiracı Oturuyor,,12000 TL,Boş,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-cift-banyolu-lux-kombili-13436297/
175 M2,4+1,16-20,4,Kiracı Oturuyor,,,Eşyalı,"4,350,000",https://www.emlakjet.com/ilan/cankaya-birlik-285-sokakda-41-asasnorlu-manzarali-satilik-daire-13436116/
120 M2,2+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,15000 TL,Eşyalı,"2,600,000",https://www.emlakjet.com/ilan/akarsu-dan-katta-super-luks-yapili-full-esyali-bagimsiz-21-merkezi-sistemli-sokullu-cd-paraleli-13436321/
180 M2,4+1,0 (Yeni),15,Boş,,,Boş,"4,975,000",https://www.emlakjet.com/ilan/acil-yasamkentte-genis-teras-balkonlu-41-sifir-ultra-luks-daire-12336306/
250 M2,4+1,16-20,3,Boş,,,Boş,"5,095,000",https://www.emlakjet.com/ilan/hilal-sukarno-cd-asansorlu-otoparkli-yuksek-kredi-41-dubleks-13435884/
130 M2,3+1,21 Ve Üzeri,3,Boş,,10000 TL,,"2,750,000",https://www.emlakjet.com/ilan/a-ovecler-1314-cad-31-ara-kat-yapili-130-m2-13434871/
110 M2,2+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,450,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-park-manzarali-cetin-emec-yakini-katta-21-mantolamali-kombili-13436352/
110 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,750,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-7-cad-ve-milli-kutuphaneye-yakin-bakimli-lux-masrafsiz-110m2-31-giriskat-12864493/
110 M2,2+1,21 Ve Üzeri,3,Boş,,,,"2,450,000",https://www.emlakjet.com/ilan/cologlundan-park-manzarali-cetin-emec-yakini-katta-21-mantolamali-kombili-super-lux-13434578/
136 M2,3+1,16-20,4,Boş,,15000 TL,,"3,350,000",https://www.emlakjet.com/ilan/sahibinden-ovecler-ata-mah-kabil-caddesinde-31-daire-13433273/
90 M2,2+1,5-10,7,Kiracı Oturuyor,,,,"3,750,000",https://www.emlakjet.com/ilan/bahcelievler-de-satilik-21-ara-kat-daire-k-garaj-asansor-13159512/
180 M2,4+1,5-10,13,Boş,,,,"4,975,000",https://www.emlakjet.com/ilan/acil-acil-yasamkentte-kok-tapu-ve-tamamina-kredi-kullanma-imkani-12517134/
530 M2,9+ Oda,21 Ve Üzeri,2,Kiracı Oturuyor,,,,"35,000,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-konut-yurt-ve-otel-yapilmaya-musait-toplam-5-katli-10-daireli-524m2-bina-13086822/
150 M2,3+1,16-20,3,Kiracı Oturuyor,,,,"2,950,000",https://www.emlakjet.com/ilan/birlik-yasam-hast-yakini-onu-acik-31-150-m2-brut-kombili-1-kot-asansorlu-k-garajli-13307424/
85 M2,2+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,980,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-7-cad-yakin-super-lux-ici-sifir-yapili-genis-21-giris-on-perdeni-tak-otur-13320456/
750 M2,6+1,5-10,3,Mülk Sahibi Oturuyor,,75000 TL,Eşyalı,"26,250,000",https://www.emlakjet.com/ilan/alacaatli-7-24-guvenlikli-sitede-yuzme-havuzlu-muhtesem-villa-12701003/
120 M2,3+1,21 Ve Üzeri,4,Boş,,,,"2,750,000",https://www.emlakjet.com/ilan/ayranci-kuzgun-sokak-ta-31-satilik-daire-13257961/
100 M2,2+1,16-20,3,Kiracı Oturuyor,,,,"3,700,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-20-yillik-21-yuksek-giris-arakat-on-kapali-ve-acik-garajli-asansorlu-balkonlu-13384481/
400 M2,5+2,11-15,3,Kiracı Oturuyor,,20000 TL,,"3,950,000",https://www.emlakjet.com/ilan/acil-ihtiyactan-52-330m2-kombili-manzarali-dubleks-daire-13345781/
125 M2,3+1,21 Ve Üzeri,3,Boş,,10000 TL,,"2,100,000",https://www.emlakjet.com/ilan/ayranci-hosdere-de-31-110m2-bahcekati-bakimli-daire-13376683/
750 M2,7+2,5-10,3,Boş,,,Boş,"21,950,000",https://www.emlakjet.com/ilan/alacaatli-da-guvenlikli-site-de-uygun-fiyatli-sifir-600m2-villa-13326107/
100 M2,2+1,16-20,3,Kiracı Oturuyor,,,,"3,700,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-20-yillik-21-yuksek-giris-arakat-on-kapali-ve-acik-garajli-asansorlu-balkonlu-13406389/
160 M2,4+1,5-10,3,Mülk Sahibi Oturuyor,,,Boş,"3,700,000",https://www.emlakjet.com/ilan/serkan-emlaktan-cankaya-asikpasa-da-3-cepheli-41-satilik-daire-13434260/
80 M2,2+1,16-20,5,Boş,,,,"4,250,000",https://www.emlakjet.com/ilan/hemen-otur-satilik-21-full-esyali-ofis-kacmaz-13413713/
145 M2,3+1,11-15,4,Kiracı Oturuyor,,0 TL,,"3,450,000",https://www.emlakjet.com/ilan/turyaptan-gokkusagi-mahallesinde-satilik-harika-ev-13413951/
150 M2,3+1,16-20,3,Kiracı Oturuyor,,15000 TL,,"2,950,000",https://www.emlakjet.com/ilan/podgorista-cd-yakini-31-150-m2-kombili-guney-dogu-cephe-full-yapili-3-kat-13218305/
125 M2,3+1,21 Ve Üzeri,4,Boş,,10000 TL,Boş,"2,550,000",https://www.emlakjet.com/ilan/trebolu-sokak-da-31-satilik-daire-13020271/
230 M2,4.5+1,16-20,4,Kiracı Oturuyor,,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-birlik-yasam-hastanesi-yakini-220-m2-41-asansorlu-daire-13450431/
135 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"3,150,000",https://www.emlakjet.com/ilan/levent-ten-cetinemec-bulvari-hakimevi-yakini-312-banyo-katta-manzarali-full-yapili-13425492/
180 M2,4+1,16-20,4,Kiracı Oturuyor,,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-birlik-kosk-yakini-41-asansorlu-garajli-satilik-daire-13460660/
140 M2,3+1,5-10,6,Kiracı Oturuyor,,0 TL,,"3,750,000",https://www.emlakjet.com/ilan/turyaptan-akpinar-mah-tam-yapili-ormana-nazir-satilik-ev-13445777/
95 M2,2+1,5-10,5,Kiracı Oturuyor,,,,"4,950,000",https://www.emlakjet.com/ilan/arel-den-maltepe-de-yeni-bina-1-kat-on-cphe-a-mutfakli-isi-pay-olcerli-31-13451783/
125 M2,3+1,16-20,5,Boş,,14000 TL,Boş,"1,725,000",https://www.emlakjet.com/ilan/levent-ten-ilker-1-cadde-yakini-31-125m2-balkonlu-terasli-yuksek-giris-13452663/
330 M2,4+1,0 (Yeni),2,Boş,,,,"13,000,000",https://www.emlakjet.com/ilan/ankara-cankaya-lodumu-330-m-arsa-uzerinde-satilik-41-villa-13452171/
220 M2,3+1,11-15,3,Boş,,25000 TL,,"6,650,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-12-yillik-lux-anitkabir-manzarali-31-net-180m2-terasli-on-cephe-dublex-13452971/
65 M2,2+1,0 (Yeni),4,Boş,,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-bahcelievler-2-cadde-yeni-bina-21-asansor-garajli-daire-13450428/
135 M2,3+1,16-20,7,Boş,,15000 TL,Boş,"3,650,000",https://www.emlakjet.com/ilan/levent-ten-lizbon-caddesi-yakini-sitede-312-banyo-135m2-arakat-cift-asansorlu-full-yapili-13424953/
125 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,10000 TL,,"2,250,000",https://www.emlakjet.com/ilan/goraldan-31-kabil-cadde-uzeri-ara-kat-kombili-acik-otoparkli-merkezi-konumda-13453479/
110 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,600,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesinde-cetinemec-bulvari-yakini-312-banyo-110m2-on-cephe-katta-full-yapili-13425736/
110 M2,2+1,21 Ve Üzeri,3,Boş,,,,"1,975,000",https://www.emlakjet.com/ilan/cologlundan-cetin-emec-yakini-kabil-ve-lizbon-caddesi-yani-21-super-lux-kombili-balkonlu-13453619/
180 M2,4+1,16-20,13,Mülk Sahibi Oturuyor,,,Boş,"5,375,000",https://www.emlakjet.com/ilan/besa-atasehir-evlerinde-manzarali-41-satilik-daire-13454289/
190 M2,3+1,16-20,5,Mülk Sahibi Oturuyor,,,,"4,650,000",https://www.emlakjet.com/ilan/gaziosmanpasa-kuleli-de-2-51-bahce-teras-li-dublex-lux-satilik-daire-13454660/
100 M2,3+1,11-15,12,Kiracı Oturuyor,,14000 TL,,"3,500,000",https://www.emlakjet.com/ilan/a-group-tan-vadi-3-etap-havuzlu-bag-sitesinde-satilik-arakat-31-100m2-13453592/
130 M2,3+1,5-10,3,Kiracı Oturuyor,,,,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-cift-banyolu-lux-kombili-13456025/
130 M2,3+1,5-10,3,Mülk Sahibi Oturuyor,,,,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-arakat-2-banyolu-lux-kombili-13456026/
130 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,750,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesi-uzerinde-31-kiler-130m2-bagimsiz-salon-katta-full-yapili-13425607/
85 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,600,000",https://www.emlakjet.com/ilan/atillaozdemir-den-yatirimciya-firsat-mustakil-parsel-tamkat-eksigi-kose-binada-21-giris-on-3cepheli-13063537/
200 M2,4+1,0 (Yeni),3,Boş,,,,"6,850,000",https://www.emlakjet.com/ilan/emek-8-cadde-sifir-yeni-bina-satilik-41-dubleks-daire-13456700/
140 M2,3+1,11-15,3,Boş,,,Boş,"2,740,000",https://www.emlakjet.com/ilan/hk-dan-asikpasa-da-cad-yakini-terasli-31-onu-acik-full-yapili-13441023/
130 M2,3+1,21 Ve Üzeri,3,Boş,,13000 TL,Boş,"2,750,000",https://www.emlakjet.com/ilan/taner-den-sokullu-cad-de-ahmet-arif-parki-karsisi-31kiler-luks-13456784/
110 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,,Boş,"2,750,000",https://www.emlakjet.com/ilan/emekte-satilik-mantolamali-binada-on-yapili-31-ader-den-13456617/
80 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,250,000",https://www.emlakjet.com/ilan/arel-den-anittepe-de-kombili-3-cepheli-genis-terasli-21-13457263/
125 M2,3+1,0 (Yeni),5,Boş,,,Boş,"3,250,000",https://www.emlakjet.com/ilan/zafertepe-mah-gunes-apt-31-21-41-satilik-daireler-13458180/
140 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"3,459,000",https://www.emlakjet.com/ilan/taner-dan-panoramik-sehir-manzarali-3-cepheli-genis-luks-yapili-13456767/
145 M2,3+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,10000 TL,Boş,"2,249,000",https://www.emlakjet.com/ilan/akarsu-dan-31-kombili-ilker-cd-paraleli-genis-metrajli-cift-balkonlu-merkzi-konumda-13458843/
71 M2,1+1,5-10,30,Kiracı Oturuyor,,,Boş,"2,400,000",https://www.emlakjet.com/ilan/312-west-gate-de-eskisehir-yolu-cepheli-satilik-11-daire-13459946/
600 M2,3+1,11-15,1,Boş,,,Boş,"1,230,000",https://www.emlakjet.com/ilan/yakupabdalda-600-m-arsa-icerisinde-13460186/
125 M2,3+1,21 Ve Üzeri,3,Boş,,,Boş,"2,250,000",https://www.emlakjet.com/ilan/cankaya-harbiye-mah-nadir-sokakta-31-yapili-satilik-daire-13460217/
55 M2,1+1,0 (Yeni),5,Boş,,,Boş,"1,550,000",https://www.emlakjet.com/ilan/bos-sifir-cankaya-dikmen-balkonlu-asansorlu-satilik-11-13460344/
61 M2,1+1,0 (Yeni),24,Boş,,9000 TL,,"2,740,000",https://www.emlakjet.com/ilan/yasamkent-yasamkule-firsat-11-daire-13460362/
120 M2,3+1,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,15000 TL,Boş,"2,250,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-31-kombili-sinan-cad-paraleli-vadi-yakini-merkezi-konumda-13458710/
110 M2,1+1,21 Ve Üzeri,5,Kiracı Oturuyor,,7000 TL,Eşyalı,"1,500,000",https://www.emlakjet.com/ilan/kizilayda-11-esyali-jakuzili-klimali-yatirimlik-daire-13456062/
120 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,,Boş,"2,749,000",https://www.emlakjet.com/ilan/cankaya-da-merkezi-konum-120-m2-yuksek-giris-daire-13455015/
315 M2,5+1,0 (Yeni),3,Boş,,,,"10,900,000",https://www.emlakjet.com/ilan/yasamken-te-super-konumda-natamam-satilik-villa-13453743/
165 M2,4+1,11-15,6,Mülk Sahibi Oturuyor,,,Boş,"3,950,000",https://www.emlakjet.com/ilan/cankaya-gop-jale-tezer-yak-satilik-41-160m2-vadi-manzara-daire-13430240/
180 M2,4+1,16-20,12,Boş,,,,"7,500,000",https://www.emlakjet.com/ilan/gaziosmanpasa-mesa-koza-plaza-da-41-satilik-lux-daire-13454665/
140 M2,3+1,16-20,3,Mülk Sahibi Oturuyor,,,Boş,"1,980,000",https://www.emlakjet.com/ilan/lizbon-cad-paralelinde-3-kat-ici-yapili-muhtesem-daire-acill-sat-13430704/
130 M2,3+1,4,27,Boş,,,Boş,"4,500,000",https://www.emlakjet.com/ilan/magna-spes-ten-guneypark-1-de-bos-31-120m2-satilik-daire-13430377/
90 M2,2+1,21 Ve Üzeri,5,Kiracı Oturuyor,,,Eşyalı,"1,550,000",https://www.emlakjet.com/ilan/ankara-emlak-tan-baglar-cad-satilik-21-daire-yatirimlik-firsat-13430329/
225 M2,4+2,16-20,4,Mülk Sahibi Oturuyor,,20000 TL,Boş,"3,950,000",https://www.emlakjet.com/ilan/cevizlidere-mahallesinde-dublex-42-210m2-kapali-terasli-satilik-daire-13430344/
700 M2,5+2,0 (Yeni),3,Boş,,,Boş,"33,250,000",https://www.emlakjet.com/ilan/mavi-ladin-sitesi-full-yapili-havuzlu-luks-villa-13453891/
185 M2,4+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,550,000",https://www.emlakjet.com/ilan/dogan-2-den-dikmen-cd-ve-sokullu-yani-bakimli-manzrali-41-dubleks-13430825/
65 M2,1+1,0 (Yeni),3,Kiracı Oturuyor,,,,"1,450,000",https://www.emlakjet.com/ilan/sifir-binada-yatirimlik-11-satilik-13432055/
136 M2,2+1,0 (Yeni),2,Boş,,15000 TL,Boş,"2,100,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-vadi-manzarali-seckin-sokakta-21-kiler-terasli-dubleks-asansorlu-13432277/
270 M2,4.5+1,5-10,30,Boş,,,Boş,"5,450,000",https://www.emlakjet.com/ilan/magna-spes-den-guneypark-1-de-41-genis-teras-li-satilik-daire-13430382/
125 M2,2+1,1,2,Boş,,12000 TL,Boş,"5,450,000",https://www.emlakjet.com/ilan/levent-ten-lizbon-caddesi-yakini-prestijli-binada-213-banyo-yerden-isitmali-dubleks-asansorlu-13432455/
217 M2,4+1,16-20,4,Mülk Sahibi Oturuyor,,,Eşyalı,"4,750,000",https://www.emlakjet.com/ilan/cankaya-birlik-mahallesi-manzarali-genis-bir-daire-13431146/
180 M2,4+1,2,16,Kiracı Oturuyor,,,Boş,"5,170,000",https://www.emlakjet.com/ilan/yasamkent-de-eskisehir-yolu-uzerinde-satilik-41-daire-13432612/
180 M2,4+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,650,000",https://www.emlakjet.com/ilan/dogan-2-den-oveclerde-katta-yapili-manzarali-41-kapali-dubleks-13430826/
322 M2,4+1,11-15,3,Boş,,,,"6,250,000",https://www.emlakjet.com/ilan/incek-ahlatlibel-oysekent-mahallesi-doga-koleji-ve-atilim-universite-ahlatlibel-kampusu-yakini-13432779/
125 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,15000 TL,Boş,"2,700,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-31-kombili-malazgirt-bulvari-ovecler-vadisi-yani-ara-katta-on-cephe-13432738/
130 M2,3+1,21 Ve Üzeri,3,Boş,,10000 TL,Boş,"2,450,000",https://www.emlakjet.com/ilan/akarsu-dan-31-kombili-park-manzarali-3-cepheli-sokullu-cd-paralelinde-katta-merkezi-konumda-13432488/
140 M2,3+1,11-15,4,Kiracı Oturuyor,,,Boş,"4,200,000",https://www.emlakjet.com/ilan/satilik-cankaya-yildizevler-sukarno-eski-hollanda-caddesinde-31-13431720/
115 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,8000 TL,Boş,"1,825,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-hurriyet-caddesinde-cetinemec-bulvari-yakini-21-depolu-giris-kat-13432401/
100 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,15000 TL,Eşyalı,"1,400,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-full-esyali-21-kombili-terasli-sokullu-cd-yani-merkezi-konumda-13432503/
90 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"1,580,000",https://www.emlakjet.com/ilan/baglar-caddesi-ted-yakini-21-kombili-giris-kat-on-daire-13432711/
100 M2,2+1,21 Ve Üzeri,3,Boş,,,Boş,"2,300,000",https://www.emlakjet.com/ilan/cankaya-belkiz-sk-ara-katta-full-yapili-satilik-daire-13430574/
